Player,Club,Year,Season,Minutes Played,Shutouts,Win Percentage (%),Save Percentage (%),Year = 1,Year = 2,Year = 3,Year = 4,Year = 5,"Interaction(Shutouts,Win Percentage (%))"
Jesse Gonzalez,DAL,2,1,540,2,50.0%,54.5%,0,1,0,0,0,1
Jeff Attinella,POR,2,1,360,0,25.0%,61.5%,0,1,0,0,0,0
Dan Kennedy,LA,2,1,115,0,0.0%,57.1%,0,1,0,0,0,0
Luis Robles,MIA,3,1,3060,10,41.2%,66.4%,0,0,1,0,0,4.117647059
Zack Steffen,CLB,3,1,3060,9,47.1%,65.3%,0,0,1,0,0,4.235294118
Bobby Shuttleworth,CHI,3,1,2838,5,32.3%,66.7%,0,0,1,0,0,1.612903226
Stefan Frei,SEA,3,1,2970,13,39.4%,69.4%,0,0,1,0,0,5.121212121
Joe Bendik,PHI,3,1,2970,7,30.3%,68.2%,0,0,1,0,0,2.121212121
Sean Johnson,NYC,3,1,2880,7,46.9%,70.1%,0,0,1,0,0,3.28125
Tim Melia,SKC,3,1,2759,10,40.0%,78.4%,0,0,1,0,0,4
Evan Bush,MTL,3,1,2790,5,35.5%,61.8%,0,0,1,0,0,1.774193548
Alex Bono,TOR,3,1,2570,10,65.5%,69.2%,0,0,1,0,0,6.551724138
Jesse Gonzalez,DAL,3,1,2610,9,27.6%,63.6%,0,0,1,0,0,2.482758621
